iter	RMSE
0	148.2432871
1	141.2112127
2	135.6077109
3	130.5545864
4	124.852639
5	119.6934664
6	115.6688746
7	112.6486539
8	109.1880316
9	105.3618414
10	101.8795265
11	99.0471159
12	96.44369795
13	94.06537742
14	90.89782969
15	88.3864474
16	86.00916359
17	83.96678328
18	81.33435078
19	79.32310845
20	77.48602562
21	75.5118991
22	73.43232752
23	71.83320864
24	70.6239755
25	68.9847978
26	67.42943241
27	65.80444208
28	64.47411535
29	62.94437453
30	61.4012939
31	60.26670106
32	59.13323581
33	58.1379272
34	57.33735937
35	56.37840574
36	55.18732695
37	53.97876145
38	52.92544187
39	51.86322339
40	50.91472255
41	49.9830201
42	49.16304713
43	48.32639354
44	47.49688074
45	46.59029126
46	45.72714759
47	45.02503826
48	44.29524435
49	43.38919964
50	42.7461734
51	42.05125056
52	41.31040444
53	40.56879695
54	39.85667877
55	39.15342721
56	38.41488304
57	37.78073188
58	37.05876758
59	36.50337404
60	35.86166169
61	35.27179531
62	34.66790642
63	34.14504789
64	33.76532893
65	33.21436731
66	32.76789114
67	32.30571227
68	31.92154
69	31.37773966
70	30.8500813
71	30.35304209
72	29.82660491
73	29.34895909
74	28.94814407
75	28.41330296
76	27.96861439
77	27.53001077
78	27.06220641
79	26.615346
80	26.22202577
81	25.83201051
82	25.51449482
83	25.11963253
84	24.75962282
85	24.37042802
86	23.99464459
87	23.66209265
88	23.32241715
89	23.0311789
90	22.64999642
91	22.33462391
92	22.06039897
93	21.76291695
94	21.47482998
95	21.22719726
96	20.95923048
97	20.69843921
98	20.4989969
99	20.19809012
